id|latitud|longitud|autor|barrio|verso
213|40.4134593|-3.7016435|﻿VdeCafe|﻿CENTRO|Mejor lo utópico que lo típico.
477|40.4126618|-3.6995668|﻿Quique González|﻿ANTÓN MARTÍN|Bañada en salitre,&lt;br&gt;flota en la memoria de los días
760|40.4104945|-3.6952493|﻿Borja Picó Llorente|﻿CENTRO|Nada es seguro pero todo es posible.
761|40.4128936|-3.7172574|﻿Ana Rojo|﻿CENTRO|Camina atento y disfruta del momento
1045|40.4105593|-3.71829|﻿David Trashumante|﻿IMPERIAL|Seré blanca escucha,&lt;br&gt;la sombra tras los pasos vivos de mi muerte
1107|40.40818|-3.7156641|﻿Laura Sam|﻿IMPERIAL|Así sobrevives, más alta que nadie en tu asfixia,&lt;br&gt;buscándole al cielo la lengua.
762|40.4118613|-3.713981|﻿M Carmen Barahona Yuste|﻿CENTRO|Vaciar de basura, Llenar de poesía
763|40.4106145|-3.7135861|﻿FERNANDO RENJIFO|﻿CENTRO|Tantos cuerpos por conocer,&lt;br&gt;el silencio la aurora.
870|40.409239|-3.7133139|﻿Cj|﻿CENTRO|Hoy puede ser un Gran Vía
478|40.4066278|-3.7124401|﻿Gavee|﻿ARGANZUELA|Mira a los lados antes de juzgar.
920|40.4111199|-3.7086113|﻿Rubén Pozo|﻿LA LATINA|Eres mi rincón favorito de Madrid
1084|40.4102407|-3.7091933|﻿Antonio Flores|﻿CENTRO|Puedo soñar que tengo el cielo&lt;br&gt;sembrado de arrecifes de coral
214|40.4092426|-3.7103339|﻿Violeta Medina|﻿CENTRO|¿Cuánta luz es necesaria para&lt;br&gt;vivir lo oscuro?
579|40.4072|-3.7113|﻿Ernesto Suárez|﻿CENTRO|Lances del ser que vive alzado&lt;br&gt;desde el brinco del respirar: lances
479|40.4056189|-3.7054939|﻿ana rossetti|﻿CENTRO|Que nunca callen&lt;br&gt;las calles
1077|40.4051163|-3.7018025|﻿Victoria Zárate|﻿EMBAJADORES|Eres recuerdo blanco. Nada pesa entre mis manos&lt;br&gt;y sin embargo te puedo retener
939|40.4059476|-3.6996218|﻿Susana Cabrera Rebato|﻿CENTRO|Despeina mi enredo, no me pongas a raya
285|40.4066333|-3.6961886|﻿Miguel Furones|﻿ATOCHA|Los insultos son como las balas.&lt;br&gt;Solo duelen los que aciertan
480|40.407187|-3.6939717|﻿Rosa Wild|﻿ARGANZUELA|Sin más prisa que la eternidad
1144|40.4082096|-3.6929901|﻿Joaquín Sabina|﻿ATOCHA|A mitad de camino entre el infierno y el cielo,&lt;br&gt;yo me bajo en Atocha, yo me quedo en Madrid
1078|40.4151849|-3.6887402|﻿RODRIGO SANCHO FERRER|﻿CENTRO|¿Había ya rocío sobre las flores&lt;br&gt;la primera mañana del mundo?
932|40.4125975|-3.6889332|﻿Noah Zaknelyt|﻿RETIRO|Hace treinta segundos yo era pájaro.
1057|40.4092972|-3.6884773|﻿Martín López-Vega|﻿CENTRO|Deja sin responder todas las preguntas&lt;br&gt;y atiende sólo a lo que late
164|40.4071017|-3.6898024|﻿Patxi Foronda Valdés|﻿ARGANZUELA|Y seremos dos gorriones&lt;br&gt;anidando entre los trenes.
231|40.4185492|-3.6789823|﻿Accidents Polipoètics|﻿IBIZA|Si te haces a ti mismo&lt;br&gt;te sobrarán piezas
481|40.4168687|-3.6781373|﻿La Víspera Indeleble|﻿RETIRO|Soy capaz de recitar&lt;br&gt;todos mis olvidos de memoria
764|40.41446|-3.67755|﻿La Gata de Noche|﻿RETIRO|Si volviese a empezar&lt;br&gt;me volvería a perder
215|40.4125925|-3.6765977|﻿Gazituaga|﻿RETIRO|El tiempo todo lo cura&lt;br&gt;Se comprende con los años
482|40.4112093|-3.6764631|﻿Ipf|﻿RETIRO|Tocar las estrellas&lt;br&gt;con los pies en el suelo
342|40.4093145|-3.6775178|﻿Luka Karnstein|﻿NIÑO JESÚS|Corría con la energía de un niño&lt;br&gt;jugando a esconderse de sí mismo
483|40.4184574|-3.6761378|﻿Calle Abajo|﻿RETIRO|Tan Raro como Madrid&lt;br&gt;nevado en agosto
286|40.4179918|-3.6729848|﻿Martí Sales|﻿CENTRO|No hi ha res més&lt;br&gt;atzarós que néixer.
